Annual Data:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quarterly Data:
"Book Value per Share","14.932","16.384","19.424","20.001","23.739","25.282","30.255","27.033","24.349","26.650","29.279","33.573","32.177","30.293","34.121","44.644","52.615","55.548","63.131","74.814","65.575","72.831","77.613","77.757","78.294","86.760","86.528","93.865","101.923","116.964","116.530","","-","0.000","0.000","0.000","14.932","0.000","0.000","0.000","16.384","0.000","0.000","0.000","19.424","0.000","0.000","0.000","20.001","0.000","0.000","0.000","23.739","0.000","0.000","0.000","25.282","0.000","0.000","0.000","0.000","0.000","27.033","0.000","0.000","0.000","24.349","0.000","0.000","0.000","26.650","0.000","0.000","0.000","29.279","0.000","33.268","0.000","33.573","0.000","34.546","0.000","32.177","0.000","32.446","0.000","30.293","0.000","33.537","34.146","34.121","36.013","36.629","49.367","44.644","45.790","44.965","51.090","52.615","51.577","48.219","52.907","55.548","56.332","57.832","59.636","63.131","62.636","67.352","69.893","74.814","72.866","73.039","75.400","65.575","66.449","69.687","71.844","72.831","71.539","77.291","0.000","77.613","81.216","83.191","82.181","77.757","80.527","83.591","81.889","78.294","81.146","82.527","84.252","86.760","88.506","88.444","84.824","86.528","86.336","88.972","90.339","93.865","99.172","104.647","97.486","101.923","105.937","109.851","112.094","116.964","116.530"
"Tangible Book per Share","14.932","16.384","19.424","20.001","23.739","25.282","30.255","27.033","24.349","26.650","29.279","33.573","32.177","30.293","34.121","44.644","52.615","55.548","63.131","74.814","65.575","72.831","77.613","77.757","78.294","86.760","86.528","93.865","101.923","116.964","116.530","","-","0.000","0.000","0.000","14.932","0.000","0.000","0.000","16.384","0.000","0.000","0.000","19.424","0.000","0.000","0.000","20.001","0.000","0.000","0.000","23.739","0.000","0.000","0.000","25.282","0.000","0.000","0.000","0.000","0.000","27.033","0.000","0.000","0.000","24.349","0.000","0.000","0.000","26.650","0.000","0.000","0.000","29.279","0.000","33.111","0.000","33.573","0.000","34.546","0.000","32.177","0.000","32.446","0.000","30.293","0.000","33.537","34.123","34.121","36.013","36.629","49.367","44.644","45.790","44.965","51.090","52.615","51.577","48.219","52.907","55.548","56.332","57.832","59.636","63.131","62.636","67.352","69.893","74.814","72.866","73.039","75.400","65.575","66.449","69.687","71.844","72.831","71.539","77.291","0.000","77.613","81.216","83.191","82.181","77.757","80.527","83.591","81.889","78.294","81.146","82.527","84.252","86.760","88.506","88.444","84.824","86.528","86.336","88.972","90.339","93.865","99.172","104.647","97.486","101.923","105.937","109.851","112.094","116.964","116.530"
"Total Debt per Share","8.693","9.774","9.058","11.069","12.805","14.408","18.111","16.614","15.367","17.950","21.028","24.700","23.946","27.969","34.769","41.276","49.723","54.690","64.693","76.960","82.243","87.972","96.875","91.943","94.157","100.665","100.184","105.022","114.058","123.397","127.150","","-","0.000","0.000","0.000","8.693","0.000","0.000","0.000","9.774","0.000","0.000","0.000","9.058","0.000","0.000","0.000","11.069","0.000","0.000","0.000","12.805","0.000","0.000","0.000","14.408","0.000","0.000","0.000","0.000","0.000","16.614","0.000","0.000","0.000","15.367","0.000","0.000","0.000","17.950","0.000","0.000","0.000","21.028","0.000","22.877","0.000","24.700","0.000","25.762","0.000","23.946","0.000","27.641","0.000","27.969","0.000","31.200","32.445","34.769","37.378","35.038","48.890","41.276","43.200","43.433","48.543","49.723","51.634","47.563","53.296","54.690","57.802","59.508","62.842","64.693","66.679","70.808","76.235","76.960","79.981","78.374","82.795","82.243","83.757","83.692","89.190","87.972","86.573","91.320","0.000","96.875","95.722","94.611","95.903","91.943","93.374","94.773","97.206","94.157","95.514","96.704","99.866","100.665","101.926","103.535","102.574","100.184","101.022","104.262","104.742","105.022","108.023","110.314","112.199","114.058","118.668","122.398","122.732","123.397","127.150"
"Month End Stock Price","0.000","0.000","0.000","0.000","0.000","0.000","0.000","44.500","50.500","52.750","57.250","104.000","70.750","58.150","44.950","74.500","74.380","108.900","128.160","100.890","63.300","80.420","80.250","86.820","102.640","112.900","139.890","106.320","108.620","130.370","115.460","","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","44.500","50.125","51.250","57.500","50.500","59.250","61.000","57.380","52.750","51.880","44.880","53.190","57.250","64.000","62.380","97.380","104.000","93.190","78.500","62.950","70.750","70.450","51.850","50.960","58.150","53.000","51.100","53.000","44.950","51.800","59.550","68.750","74.500","81.620","76.380","81.870","74.380","71.490","92.370","104.620","108.900","104.590","108.900","134.310","128.160","125.880","116.860","106.170","100.890","94.000","85.800","65.440","63.300","75.530","78.570","84.160","80.420","68.570","71.580","78.630","80.250","82.420","68.260","66.130","86.820","80.480","78.510","93.250","102.640","120.660","128.030","121.920","112.900","119.660","117.530","125.480","139.890","133.750","117.280","123.040","106.320","99.990","116.060","117.200","108.620","105.020","119.600","127.170","130.370","128.810"
"ROE %","9.330","10.760","10.240","5.360","4.020","2.690","2.870","4.570","6.480","6.990","7.060","7.440","9.250","7.390","10.880","15.860","13.860","13.320","14.650","15.590","-4.050","2.130","4.150","2.700","7.930","13.220","12.860","14.200","10.630","14.110","13.560","","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","22.640","11.400","0.000","0.000","8.380","8.670","0.000","0.000","5.690","5.810","0.000","0.000","4.550","8.830","0.000","0.000","0.000","0.000","10.730","12.370","0.000","0.000","16.150","17.230","0.000","0.000","11.620","11.010","0.000","0.000","22.310","12.160","12.070","23.840","9.710","17.430","17.170","17.100","24.180","13.160","12.940","24.470","7.790","24.350","23.070","11.610","6.060","12.420","14.280","15.520","18.010","13.910","13.710","14.190","14.950","11.530","12.730","15.520","15.690","14.320","14.950","15.330","15.130","15.940","15.090","14.930","10.810","11.380","4.580","-6.200","-28.320","-3.110","0.900","6.140","4.360","7.410","4.010","7.420","1.970","0.050","3.250","3.210","4.570","11.240","9.780","3.510","10.090","17.730","13.220","14.930","8.330","16.130","13.930","14.330","10.740","15.010","14.440","14.500","10.360","13.920","9.850","10.820","9.050","13.980","10.150","20.040","10.250","13.700"
"ROE % Adjusted to Book Value","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2.770","3.130","3.530","3.600","2.400","4.200","3.850","8.240","9.500","9.830","6.800","7.220","11.550","-4.180","1.940","4.030","2.410","6.050","10.170","7.940","12.570","9.930","12.710","13.480","","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","6.500","0.000","0.000","0.000","7.800","0.000","0.000","0.000","5.870","0.000","0.000","0.000","11.380","0.000","6.420","0.000","3.130","0.000","7.560","0.000","10.990","0.000","8.090","0.000","4.060","0.000","15.180","7.490","4.590","8.630","8.760","11.170","10.780","7.810","8.060","8.870","10.600","8.290","6.630","7.840","8.010","7.700","7.950","6.810","7.450","7.930","8.670","9.820","8.010","8.820","3.910","-7.130","-29.200","-2.730","0.800","5.250","3.960","7.720","4.310","0.000","1.910","0.050","3.960","4.010","4.080","11.240","10.400","3.080","7.700","11.900","8.530","10.300","6.410","11.950","10.470","9.680","6.630","9.680","10.940","10.660","9.170","13.780","8.870","9.020","8.460","14.120","9.310","17.730","9.230","12.340"
"ROA %","4.840","5.490","5.180","2.680","2.010","1.350","1.410","2.180","2.970","3.100","3.040","3.130","3.870","2.930","3.960","5.760","5.150","4.920","5.350","5.680","-1.440","0.730","1.430","0.930","2.720","4.570","4.510","5.020","3.810","5.190","5.020","","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","11.530","5.800","0.000","0.000","4.130","4.270","0.000","0.000","2.880","2.940","0.000","0.000","2.280","4.420","0.000","0.000","0.000","0.000","5.030","5.800","0.000","0.000","7.210","7.700","0.000","0.000","5.130","4.860","0.000","0.000","9.370","5.110","5.020","9.910","4.080","7.330","7.300","7.270","10.050","5.470","5.130","9.710","2.930","9.160","8.730","4.370","2.200","4.380","5.120","5.640","6.600","5.150","5.040","5.280","5.600","4.250","4.680","5.740","5.790","5.230","5.460","5.590","5.500","5.760","5.470","5.430","3.930","4.120","1.650","-2.260","-10.080","-1.070","0.310","2.130","1.490","2.530","1.380","2.580","0.680","0.020","1.140","1.130","1.580","3.900","3.460","1.240","3.500","6.110","4.600","5.230","2.920","5.680","4.930","5.030","3.760","5.280","5.100","5.120","3.680","4.980","3.630","3.970","3.330","5.040","3.680","7.350","3.910","5.090"
"ROC (Joel Greenblatt) %","26.000","26.780","19.140","7.960","6.190","4.060","7.840","8.860","15.400","18.460","16.060","15.240","16.600","21.840","25.680","33.050","30.580","27.830","29.540","33.700","-6.850","4.790","7.630","4.810","13.210","20.930","20.790","21.820","15.860","19.950","19.520","","-","0.000","0.000","0.000","-2,253.410","928.580","0.000","0.000","-1,800.850","684.620","0.000","0.000","-2,089.010","854.970","0.000","0.000","-2,007.190","758.200","0.000","0.000","-2,000.350","637.870","0.000","0.000","-1,577.930","720.840","0.000","0.000","0.000","0.000","-1,527.280","538.680","0.000","0.000","-1,552.260","614.250","0.000","0.000","-1,359.900","494.410","0.000","0.000","-1,358.810","503.800","26.870","499.940","-1,516.400","551.510","28.360","448.840","-1,520.640","612.530","42.660","512.680","-1,504.640","609.570","53.680","26.140","14.310","25.700","28.630","30.930","37.900","33.310","29.390","31.500","31.480","26.970","25.670","28.410","34.230","28.940","30.840","29.610","28.390","32.080","29.640","29.330","31.440","22.900","9.720","-15.040","-47.240","-7.140","5.020","13.720","8.070","16.420","8.970","17.390","4.050","-3.880","5.800","13.610","12.490","18.450","16.870","5.490","17.300","26.120","22.040","23.020","14.210","25.930","23.120","23.840","15.230","22.840","22.490","20.460","14.980","21.320","16.760","16.830","12.810","19.990","16.500","20.670","18.090","22.700"
"ROIC %","6.400","6.890","5.650","2.120","1.680","1.080","1.870","2.620","4.190","4.540","4.010","3.890","4.170","5.270","6.420","8.110","7.110","6.280","6.710","6.840","-2.420","0.530","1.120","0.700","3.430","5.950","5.990","6.730","4.600","6.190","5.960","","-","0.000","0.000","0.000","-1,031.210","424.940","0.000","0.000","-956.910","363.790","0.000","0.000","-989.770","405.080","0.000","0.000","-1,068.980","403.800","0.000","0.000","-1,024.000","326.530","0.000","0.000","-862.090","393.830","0.000","0.000","0.000","0.000","-774.990","273.350","0.000","0.000","-836.830","331.140","0.000","0.000","-648.350","235.720","0.000","0.000","-670.360","248.550","9.100","288.670","-708.570","257.700","6.950","202.070","-643.730","259.300","9.890","222.160","-641.160","259.750","13.310","7.140","4.220","6.180","7.410","16.990","13.150","7.260","7.120","7.020","7.610","5.710","6.120","6.120","10.460","6.220","7.200","6.620","6.830","6.810","6.820","6.300","4.780","4.260","1.560","-4.540","-11.360","-2.550","1.320","1.930","1.500","2.360","3.900","2.090","-0.260","-1.020","1.300","0.720","1.930","4.360","4.260","1.120","5.280","7.710","5.940","6.160","4.510","6.710","6.180","6.160","6.460","6.340","7.280","6.400","5.310","6.570","4.540","3.850","4.250","5.300","4.300","8.960","4.890","5.550"
"WACC %","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","11.030","8.000","11.700","9.760","10.070","2.180","3.310","3.280","4.260","5.500","4.250","2.340","2.840","3.060","4.470","4.460","4.110","4.080","2.980","3.710","3.460","3.370","","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","11.030","0.000","0.000","0.000","8.000","0.000","7.900","0.000","11.700","0.000","11.170","0.000","9.760","0.000","9.370","0.000","10.070","0.000","3.330","2.650","2.180","2.510","3.180","2.890","3.310","4.040","3.000","3.190","3.280","3.320","4.430","4.640","4.260","4.540","4.700","5.510","5.500","5.720","5.690","5.160","4.250","4.280","3.500","2.450","2.340","2.640","2.630","2.710","2.840","2.480","2.380","3.210","3.060","2.970","2.750","2.950","4.470","4.060","3.880","4.450","4.460","5.090","5.030","4.560","4.110","4.170","4.070","4.250","4.080","4.100","3.610","3.270","2.980","2.590","3.120","3.820","3.710","3.610","3.750","3.580","3.460","0.000"
