Fiscal Period,Revenue per Share,EBITDA per Share,EBIT per Share,Earnings per Share (Diluted),EPS without NRI,Owner Earnings per Share (TTM),Free Cash Flow per Share,Operating Cash Flow per Share,Dividends per Share,Book Value per Share,Tangible Book per Share,Total Debt per Share,Month End Stock Price,ROE %,ROE % Adjusted to Book Value,ROA %,ROC (Joel Greenblatt) %,ROIC %,WACC %,Effective Interest Rate on Debt %,Gross Margin %,Operating Margin %,Net Margin %,FCF Margin %,Debt-to-Equity,Equity-to-Asset,Debt-to-Asset,Gross-Profit-to-Asset %,Asset Turnover,Dividend Payout Ratio,Days Sales Outstanding,Days Payable,Days Inventory,Cash Conversion Cycle,Inventory Turnover,COGS-to-Revenue,Inventory-to-Revenue,Revenue,Cost of Goods Sold,Gross Profit,"Selling, General, & Admin. Expense",Research & Development,Other Operating Expense,Operating Income,  Interest Income,  Interest Expense,Net Interest Income,Other Income (Expense),  Other Income (Minority Interest),Pre-Tax Income,Tax Provision,Tax Rate %,Net Income (Continuing Operations),Net Income (Discontinued Operations),Net Income,Preferred Dividends,EPS (Basic),EPS (Diluted),Shares Outstanding (Diluted Average),"Depreciation, Depletion and Amortization",EBITDA,  Cash And Cash Equivalents,  Marketable Securities,"Cash, Cash Equivalents, Marketable Securities",  Accounts Receivable,  Notes Receivable,  Other Current Receivables,Total Receivables,"  Inventories, Raw Materials & Components","  Inventories, Work In Process","  Inventories, Inventories Adjustments","  Inventories, Finished Goods","  Inventories, Other",Total Inventories,Other Current Assets,Total Current Assets,Investments And Advances,  Land And Improvements,  Buildings And Improvements,"  Machinery, Furniture, Equipment",  Construction In Progress,  Other Gross PPE,"Gross Property, Plant and Equipment",  Accumulated Depreciation,"Property, Plant and Equipment",Intangible Assets,  Goodwill,Other Long Term Assets,Total Assets,  Accounts Payable,  Total Tax Payable,  Other Current Payables,  Current Accrued Expense,Accounts Payable & Accrued Expense,Current Portion of Long-Term Debt,  Current Deferred Revenue,  Current Deferred Taxes Liabilities,DeferredTaxAndRevenue,Other Current Liabilities,Total Current Liabilities,  Long-Term Debt,  Capital Lease Obligation,Long-Term Debt & Capital Lease Obligation,PensionAndRetirementBenefit,NonCurrent Deferred Liabilities,Other Long-Term Liabilities,Total Liabilities,Common Stock,Preferred Stock,Retained Earnings,Accumulated other comprehensive income (loss),Additional Paid-In Capital,Treasury Stock,Other Stockholders Equity,Total Stockholders Equity,Minority Interest,Total Equity,  Net Income,  Net Foreign Currency Exchange Gain,Net Income From Continuing Operations,"Depreciation, Depletion and Amortization",  Change In Receivables,  Change In Inventory,  Change In Prepaid Assets,  Change In Payables And Accrued Expense,Change In Working Capital,Change In DeferredTax,Stock Based Compensation,Cash Flow from Discontinued Operations,Cash Flow from Others,Cash Flow from Operations,"Purchase Of Property, Plant, Equipment","Sale Of Property, Plant, Equipment",Purchase Of Business,Sale Of Business,Purchase Of Investment,Sale Of Investment,Net Intangibles Purchase And Sale,Cash From Discontinued Investing Activities,Cash From Other Investing Activities,Cash Flow from Investing,Issuance of Stock,Repurchase of Stock,Net Issuance of Preferred Stock,Net Issuance of Debt,Cash Flow for Dividends,Other Financing,Cash Flow from Financing,Net Change in Cash,Capital Expenditure,Free Cash Flow,PE Ratio,Price-to-Owner-Earnings,PB Ratio,Price-to-Tangible-Book,Price-to-Free-Cash-Flow,Price-to-Operating-Cash-Flow,PS Ratio,PEG Ratio,EV-to-Revenue,EV-to-EBITDA,EV-to-EBIT,Earnings Yield (Joel Greenblatt) %,Forward Rate of Return (Yacktman) %,Shiller PE Ratio,Dividend Yield %,Market Cap,Enterprise Value,Net Cash per Share,Net Current Asset Value,Net-Net Working Capital,Intrinsic Value: Projected FCF,Median PS Value,Peter Lynch Fair Value,Graham Number,Earnings Power Value (EPV),Altman Z-Score,Piotroski F-Score,Beneish M-Score,Scaled Net Operating Assets,Sloan Ratio %,Current Ratio,Quick Ratio,Interest Coverage,Highest Stock Price,Lowest Stock Price,Shares Buyback Ratio %,YoY Rev. per Sh. Growth,YoY EPS Growth,YoY EBITDA Growth,5-Year EBITDA Growth Rate,Shares Outstanding (Basic Average),Shares Outstanding (EOP),Beta,Filing Date,Restated Filing Date,Number of Shareholders,Number of Employees,Insider Shares Owned,Institution Shares Held,Insider Ownership %,Institutional Ownership %,Price-to-Net-Current-Asset-Value,Price-to-Net-Net-Working-Capital,Price-to-Graham-Number,Price-to-Intrinsic-Value-DCF (Earnings Based),Price-to-Intrinsic-Value-DCF (FCF Based),Price-to-Earnings-Power-Value,Price-to-Intrinsic-Value-Projected-FCF,Price-to-Peter-Lynch-Fair-Value,Price-to-Median-PB-Value,Price-to-Median-PS-Value,Price-to-Net-Cash
199106,25.8,2.414,2.022,-0.35,-0.35,0,1.569,2.907,0.2,21.738,21.738,96.218,7.28,-5.94,-18,-0.77,35.12,7.39,1.18,0,15.75,7.84,-1.36,6.08,4.261,0.128,0.547,8.99,0.143,0,0,30.1,27.82,-2.28,3.28,0.84,0.257,"23,846.70","20,091.50","3,755.20","1,524.00",0,361.9,"1,869.30",0,0,0,"-2,177.10",-13.4,-307.8,-15.7,-5.1,-323.5,0,-323.5,0,-0.35,-0.35,924.286,361.9,"2,231.20","6,894.30",0,"6,894.30",0,0,"4,990.70","4,990.70",0,0,0,0,"5,605.60","5,605.60","12,445.90","29,936.50",0,0,0,0,0,"40,484.70","40,484.70","-19,422.00","21,062.70",0,0,"115,630.90","166,630.10","6,627.40",0,0,0,"6,627.40","2,621.20",0,0,0,"13,817.30","23,065.90","88,469.50",0,"88,469.50",0,"2,708.00","31,007.30","145,250.70",0,800,"19,425.20",0,0,0,"1,154.20","21,379.40",0,"21,379.40",-323.5,0,-323.5,361.9,0,0,0,0,0,0,0,0,"2,648.90","2,687.30","-1,236.80",0,0,0,"-18,768.50","18,959.30",0,0,-883.1,"-1,929.10",0,0,0,-768.5,-189.2,-338.7,"-1,296.40",-538.2,"-1,236.80","1,450.50",0,0,0.33,0.33,0,0.92,0.08,0,0.99,9.74,15.49,6.46,0,0,18.2,"6,892.05","91,888.45",-146.14,-122.65,-144.03,0,31.44,0,0,0,0.75,0,0,0.63,-1.07,1.3,1.05,N/A,7.64,6.27,-0.06,-10.85,-142.17,-47.88,0,924.286,946.71,1.07,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.23,0
199109,22.425,2.067,1.674,-0.61,-0.61,0,-0.091,1.545,0.2,21.267,21.267,98.514,6.07,-10.78,-37.17,-1.36,29.68,6.68,0.81,0,16,7.46,-2.72,-0.41,4.458,0.124,0.554,8.01,0.125,0,0,38.15,30.56,-7.59,2.99,0.84,0.281,"21,116.70","17,737.10","3,379.60","1,433.70",0,369.9,"1,576.00",0,0,0,"-2,079.80",2.5,-503.8,-70.6,-14.01,-574.4,0,-574.4,0,-0.61,-0.61,941.639,369.9,"1,945.90","6,282.40",0,"6,282.40",0,0,"4,857.20","4,857.20",0,0,0,0,"6,276.60","6,276.60","6,404.70","23,820.90",0,0,0,0,0,"40,834.60","40,834.60","-19,422.00","21,412.60",0,0,"125,825.40","171,058.90","7,414.70",0,0,0,"7,414.70","1,745.30",0,0,0,"12,368.40","21,528.40","92,957.50",0,"92,957.50",0,"2,732.00","32,597.30","149,815.20",0,800,"18,659.00",0,0,0,"1,784.70","21,243.70",0,"21,243.70",-574.4,0,-574.4,369.9,0,0,0,0,0,0,0,0,"1,659.60","1,455.10","-1,540.80",0,0,0,0,0,0,0,"-2,328.00","-3,868.80",0,0,0,"7,799.10",-291.8,"-5,792.10","1,715.20",-698.5,"-1,540.80",-85.7,0,0,0.29,0.29,0,0.76,0.06,0,1.05,11.69,21.06,4.75,0,0,18.95,"5,835.15","95,055.55",-149.31,-131.9,-146.88,0,31.38,0,0,0,0.66,0,0,0.658,-0.58,1.11,0.81,N/A,7.43,5.92,-1.54,-0.79,-710,-35.33,0,941.639,961.31,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.19,0
199112,22.979,6.305,1.413,-0.52,-0.52,-14.817,0.886,2.63,0.2,23.472,23.472,100.768,5.69,-8.9,-37.08,-1.1,24.61,3.49,0.77,0,35.38,6.15,-2.16,3.85,4.147,0.135,0.558,18.01,0.127,0,0,66.15,40.12,-26.03,2.27,0.65,0.284,"21,981.90","14,204.30","7,777.60","1,746.10",0,"4,679.80","1,351.70",0,0,0,"-2,014.80",95.8,-663.1,187.4,28.26,-475.7,0,-475.7,0,-0.52,-0.52,956.595,"4,679.80","6,031.50","8,133.20",0,"8,133.20",0,0,"3,242.70","3,242.70",0,0,0,0,"6,215.30","6,215.30","8,658.70","26,249.90",0,0,0,0,0,"41,944.30","41,944.30","-19,422.00","22,522.30",0,0,"125,657.20","174,429.40","10,296.70",0,0,0,"10,296.70","47,194.70",0,0,0,"27,187.30","84,678.70","50,218.30",0,"50,218.30",0,"2,829.70","13,212.40","150,939.10",0,800,"17,990.80",0,0,0,"4,699.50","23,490.30",0,"23,490.30",-475.7,0,-475.7,"4,679.80",0,0,0,0,0,0,0,0,"-1,688.30","2,515.80","-1,668.60",0,0,0,0,0,0,0,"-2,212.20","-3,880.80",0,0,0,535.5,257.5,"2,209.40","3,002.40","1,637.40","-1,668.60",847.2,0,0,0.24,0.24,2.34,0.66,0.06,0,1.08,8.13,15.97,6.26,0,0,17.14,"5,500.58","95,580.38",-147.72,-129.81,-145.34,0,30.98,0,0,-259.06,0.22,4,-2.93,0.659,-1.26,0.31,0.24,N/A,6.27,4.8,-0.56,-4.95,11.86,162.6,0,956.595,966.71,1.17,,,0,"332,700.00",0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.18,0
199203,24.591,3.224,2.759,0.29,0.29,-11.152,3.653,4.908,0.2,23.045,23.045,98.844,7.76,4.97,14.62,0.78,49.6,4.91,1.02,0,18.71,11.22,1.38,14.85,4.141,0.133,0.55,10.54,0.141,0.69,0,36.99,28.26,-8.73,3.23,0.81,0.252,"24,557.50","19,962.80","4,594.70","1,374.70",0,464.4,"2,755.60",0,0,0,"-2,074.40",-18.8,681.2,-343.3,50.4,337.9,0,337.9,48.3,0.29,0.29,998.621,464.4,"3,220.00","9,063.70",0,"9,063.70",0,0,"3,279.80","3,279.80",0,0,0,0,"6,151.70","6,151.70","2,814.50","21,309.70",0,0,0,0,0,"41,918.30","41,918.30","-19,991.00","21,927.30",0,0,"131,044.40","174,281.40","8,092.60",0,0,0,"8,092.60","1,661.40",0,0,0,"34,048.60","43,802.60","94,183.40",0,"94,183.40",0,"2,887.70","10,261.90","151,135.60",0,800,"18,080.70",0,0,0,"4,265.10","23,145.80",0,"23,145.80",337.9,0,337.9,464.4,0,0,0,0,0,0,0,0,"4,099.20","4,901.50","-1,253.90",52,0,0,"-17,238.00","15,081.70",0,0,"1,703.70","-1,654.50",0,0,0,"3,722.30",-248,"-5,313.90","-1,839.60","1,407.40","-1,253.90","3,647.60",0,0,0.34,0.34,1.29,0.65,0.08,0,1.04,7.08,12.59,7.94,0,0,10.31,"7,524.56","95,105.66",-146.52,-134.71,-144.17,0,31.61,0,0,-220.95,0.53,3,-2.99,0.63,-0.72,0.49,0.35,N/A,8.14,5.69,-0.31,8.41,130.85,95.28,0,998.621,969.66,1.03,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.25,0
199206,27.783,3.606,3.108,0.47,0.47,-9.185,3.031,4.323,0.2,23.87,23.87,98.235,9.28,7.65,19.62,1.14,53.9,4.76,1.2,0,18.59,11.19,1.87,10.91,3.933,0.136,0.535,11.29,0.152,0.426,0,35.07,25.24,-9.83,3.61,0.81,0.225,"26,842.70","21,853.80","4,988.90","1,504.70",0,480.9,"3,003.30",0,0,0,"-1,864.20",-29.5,"1,139.10",-636.7,55.9,502.4,0,502.4,48.3,0.47,0.47,966.17,480.9,"3,484.20","7,516.20",0,"7,516.20",0,0,"3,140.40","3,140.40",0,0,0,0,"5,939.60","5,939.60","24,348.40","40,944.60",0,0,0,0,0,"42,635.90","42,635.90","-19,991.00","22,644.90",0,0,"115,510.70","179,100.20","8,399.60",0,0,0,"8,399.60","1,282.30",0,0,0,"28,687.40","38,369.30","94,514.80",0,"94,514.80",0,"3,632.20","18,225.00","154,741.30",0,"1,081.30","18,340.50",0,0,0,"4,937.10","24,358.90",0,"24,358.90",502.4,0,502.4,480.9,0,0,0,0,0,0,0,0,"3,193.50","4,176.80","-1,248.20",0,0,0,"-15,792.00","17,285.30",0,0,"-5,594.60","-5,349.50",0,0,0,"-4,371.20",-242.4,"3,884.40",-729.2,"-1,901.90","-1,248.20","2,928.60",0,0,0.39,0.39,1.24,0.69,0.09,0,1.04,6.7,11.33,8.83,0,0,8.62,"9,049.67","98,411.87",-150.97,-117.8,-149.04,0,32.27,0,0,-209.42,0.74,5,-2.99,0.646,0.83,1.07,0.91,N/A,9.73,7.84,-0.57,7.69,234.29,49.38,0,966.17,975.18,1.1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.29,0
199209,25.892,2.197,1.604,-0.23,-0.23,-8.333,-2.132,-0.467,0.2,23.615,23.615,98.701,7.99,-3.42,-10.06,-0.36,25.42,2.97,1.01,0,14.89,6.19,-0.68,-8.23,3.992,0.136,0.544,7.81,0.131,0,0,38.74,28.5,-10.24,3.2,0.85,0.266,"23,325.30","19,851.20","3,474.10","1,495.00",0,534.3,"1,444.80",0,0,0,"-1,718.00",-26.5,-273.2,114.3,41.84,-158.9,0,-158.9,48.3,-0.23,-0.23,900.87,534.3,"1,979.10","6,459.70",0,"6,459.70",0,0,"4,879.10","4,879.10",0,0,0,0,"6,462.10","6,462.10","8,250.10","26,051.00",0,0,0,0,0,"42,821.20","42,821.20","-19,991.00","22,830.20",0,0,"127,921.40","176,802.60","8,426.90",0,0,0,"8,426.90","1,316.40",0,0,0,"13,173.90","22,917.20","94,889.30",0,"94,889.30",0,"3,888.80","31,007.00","152,702.30",0,"1,082.00","17,938.30",0,0,0,"5,080.00","24,100.30",0,"24,100.30",-158.9,0,-158.9,534.3,0,0,0,0,0,0,0,0,-796,-420.6,"-1,499.70",258.7,0,0,"-116,655.30","19,055.70",0,0,"99,327.00",486.4,0,0,0,-233.4,-243.5,-936.9,"-1,413.80","-1,348.00","-1,499.70","-1,920.30",799,0,0.34,0.34,1.47,0.7,0.08,0,1.02,6.7,11.53,8.67,0,0,10.01,"7,788.01","98,616.01",-150.04,-131.05,-147.83,0,33.41,0,2.31,-213.07,0.76,9,-2.83,0.636,-0.32,1.14,0.85,N/A,9.28,7.76,0.05,15.46,62.3,6.29,0,900.87,974.72,1.16,,,0,0,0,0,0,0,0,0,3.46,0,0,0,0,0,0.15,0.24,0
199212,25.948,-1.221,-6.609,-5.521,-5.521,-14.083,1.092,2.918,0.2,15.067,15.067,102.151,8.67,-162.87,-280.81,-18.06,-115.06,-5.67,1.15,0,-6.81,-9.44,-31.75,4.21,6.316,0.088,0.554,-3.87,0.142,0,0,32.2,20.03,-12.17,4.56,1.07,0.234,"25,406.50","27,136.20","-1,729.70",59.6,0,609.4,"-2,398.70",0,0,0,724.6,"-6,888.20","-1,674.10",570.7,34.09,"-1,103.40",0,"-8,066.40",64.1,-5.521,-5.521,979.116,"5,275.40","-1,195.30","6,686.10",0,"6,686.10",0,0,"110,395.70","110,395.70",0,0,0,0,"5,451.30","5,451.30","8,629.20","131,162.30",0,0,0,0,0,"42,151.00","42,151.00","-19,991.00","22,160.00",0,0,"27,222.90","180,545.20","9,575.10",0,0,0,"9,575.10","49,068.00",0,0,0,"10,301.10","68,944.20","50,950.00",0,"50,950.00",0,"2,949.30","41,866.30","164,709.80",0,"1,082.60","9,628.40",0,0,0,"5,124.40","15,835.40",0,"15,835.40","-8,066.40",0,"-8,066.40","5,275.40",0,0,0,0,0,0,0,0,"5,648.30","2,857.30","4,001.80",-47.7,0,0,"86,371.30","10,375.30",0,0,"-106,994.10","-6,293.40",0,0,0,"3,722.30",-243.1,619.4,"4,098.60",662.5,"-1,788.20","1,069.10",0,0,0.58,0.58,1.54,0.74,0.08,0,1.03,13.74,140.39,0.71,0,0,9.23,"8,488.97","102,903.47",-161.39,-35.37,-159.72,-8.14,34.39,0,0,-103.89,1.07,5,-2.53,0.617,-3.37,1.9,1.82,N/A,8.8,7.05,-0.45,12.92,-961.73,-119.37,0,979.116,979.12,1.23,,3/16/95,0,"325,333.00",0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0
199303,26.228,3.395,2.734,0.49,0.49,-12.386,3.308,4.571,0.2,18.865,18.865,102.623,10.52,11.23,20.05,1.25,50.23,5.56,1.38,0,18.51,10.42,2.14,12.61,5.095,0.106,0.541,10.8,0.146,0.408,0,36.41,23.69,-12.72,3.85,0.81,0.212,"26,763.00","21,808.00","4,955.00","1,491.00",0,674,"2,790.00",0,0,0,"-1,750.00",-26,"1,040.00",-468,45,572,0,572,72,0.5,0.49,"1,020.41",674,"3,464.00","8,936.00",0,"8,936.00",0,0,"3,025.00","3,025.00",0,0,0,0,"5,872.00","5,872.00","3,254.00","21,087.00",0,0,0,0,0,"42,970.00","42,970.00","-20,691.00","22,279.00",0,0,"143,167.00","186,533.00","8,702.00",0,0,0,"8,702.00","1,050.00",0,0,0,"27,695.00","37,447.00","99,820.00",0,"99,820.00",0,"3,049.00","26,418.00","166,734.00",0,"1,256.00","9,924.00",0,0,0,"8,619.00","19,799.00",0,"19,799.00",572,0,572,674,0,0,0,0,0,0,0,0,"3,418.00","4,664.00","-1,289.00",0,0,0,"-25,503.00","60,308.00",0,0,"-37,745.00","-4,229.00",173,0,0,"2,555.00",-276,-657,"1,795.00","2,230.00","-1,289.00","3,375.00",0,0,0.56,0.56,1.99,0.93,0.1,0,1.01,13.39,134.91,0.74,0,0,7.6,"10,340.32","103,530.32",-160.54,-149.46,-158.83,-4.36,34.93,0,0,-128.32,0.56,4,-2.19,0.619,-1.63,0.56,0.41,N/A,10.72,8.67,-0.39,6.66,68.97,5.3,0,"1,000.00",982.92,1.38,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.3,0
199306,27.62,3.519,2.856,0.66,0.66,-10.878,2.441,4.077,0.2,15.923,15.923,106.9,10.57,15.31,23.2,1.64,54.33,6.24,1.37,0,18.45,10.34,2.63,8.84,6.215,0.088,0.549,11.48,0.155,0.303,0,33.94,21.24,-12.7,4.3,0.82,0.19,"29,419.00","23,990.00","5,429.00","1,681.00",0,706,"3,042.00",0,0,0,"-1,697.00",-49,"1,345.00",-570,42.38,775,0,775,72,0.73,0.66,"1,065.15",706,"3,748.00","9,149.00",0,"9,149.00",0,0,"3,853.00","3,853.00",0,0,0,0,"5,298.00","5,298.00","3,348.00","21,648.00",0,0,0,0,0,"43,205.00","43,205.00","-20,691.00","22,514.00",0,0,"147,706.00","191,868.00","8,924.00",0,0,0,"8,924.00",763,0,0,0,"26,311.00","35,998.00","104,525.00",0,"104,525.00",0,"3,025.00","31,380.00","174,928.00",0,"1,257.00","10,430.00",0,0,0,"5,253.00","16,940.00",0,"16,940.00",775,0,775,706,0,0,0,0,0,0,0,0,"2,862.00","4,343.00","-1,743.00",0,0,0,"-21,077.00","58,328.00",0,0,"-43,836.00","-8,328.00",1,0,0,"4,690.00",-269,-479,"3,943.00",-42,"-1,743.00","2,600.00",0,0,0.66,0.66,2.24,0.95,0.1,0,1.03,13.48,133.74,0.75,0,0,7.57,"10,410.60","107,806.60",-168.32,-156.9,-166.9,-2.14,34.88,0,0,-155.92,0.58,3,-2.12,0.606,0.02,0.6,0.45,N/A,11.35,10.09,-0.2,-0.59,40.43,-2.41,0,963.014,984.92,1.41,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0.3,0
199309,25.062,3.001,2.154,0.4,0.4,-10.582,0.878,2.664,0.2,15.923,15.923,121.296,11.18,9.14,13.06,0.96,36.78,6.46,1.18,0,18.07,8.6,1.89,3.5,6.976,0.089,0.617,9.15,0.127,0.5,0,39.13,24.69,-14.44,3.7,0.82,0.222,"24,498.00","20,070.00","4,428.00","1,495.00",0,827,"2,106.00",0,0,0,"-1,611.00",-31,495,-32,6.46,463,0,463,72,0.4,0.4,977.5,827,"2,933.00","6,810.00",0,"6,810.00",0,0,"5,575.00","5,575.00",0,0,0,0,"5,565.00","5,565.00","17,823.00","35,773.00",0,0,0,0,0,"43,434.00","43,434.00","-20,691.00","22,743.00",0,0,"136,781.00","195,297.00","8,606.00",0,0,0,"8,606.00",749,0,0,0,"14,229.00","23,584.00","119,818.00",0,"119,818.00",0,"3,390.00","31,221.00","178,013.00",0,"1,457.00","10,624.00",0,0,0,"5,203.00","17,284.00",0,"17,284.00",463,0,463,827,0,0,0,0,0,0,0,0,"1,314.00","2,604.00","-1,746.00",0,0,0,"-151,071.00","66,485.00",0,0,"81,009.00","-5,323.00",201,0,0,-857,-269,"1,335.00",410,"-2,309.00","-1,746.00",858,0,0,0.7,0.7,1.45,0.79,0.11,0,1.19,14.12,86.09,1.16,0,0,7.16,"11,112.81","126,326.81",-172.24,-144.57,-170.9,-0.44,34.6,0,0,-221.81,0.75,4,-2.4,0.683,1.77,1.52,1.28,N/A,11.5,9.78,-0.92,-3.21,273.91,36.6,0,977.5,993.99,1.09,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0.32,0
199312,26.374,2.021,-2.963,-0.173,-0.173,-1.119,0.341,2.27,0.2,14.143,14.143,112.187,13.05,15.75,17.12,1.46,-53.98,2.2,1.5,0,6.99,3.24,2.58,1.29,7.19,0.078,0.563,3.95,0.141,0,0,30.9,19.56,-11.34,4.66,0.93,0.199,"27,841.00","25,894.00","1,947.00",189,0,857,901,0,0,0,222,-18,"1,123.00",-280,24.93,843,0,719,72,-0.165,-0.173,"1,055.63","5,261.00","2,133.00","8,222.00","4,085.00","12,307.00",0,0,"3,136.00","3,136.00",0,0,0,0,"5,538.00","5,538.00","4,056.00","25,037.00","11,221.00",0,0,0,0,"23,059.00","23,059.00",0,"23,059.00",0,0,"139,621.00","198,938.00","8,769.00",160,"3,857.00","10,815.00","23,601.00",932,0,0,0,0,"24,533.00","111,044.00",0,"111,044.00",0,"8,959.00","38,828.00","183,364.00",499,"1,458.00","11,071.00","-1,078.00","5,082.00",0,"-1,458.00","15,574.00",0,"15,574.00",719,0,719,"5,261.00",0,0,0,0,0,0,0,0,"-3,584.00","2,396.00","-2,036.00",0,0,0,"83,417.00","-70,768.00",0,0,"-16,190.00","-5,577.00",19,0,0,"7,996.00",-272,"-2,947.00","4,796.00","1,615.00","-2,036.00",360,9.48,0,0.92,0.92,1.87,0.96,0.12,0,1.05,9.3,23.73,4.21,0,0,6.13,"13,025.47","114,152.47",-171.38,-160.09,-170.07,-1.16,34.74,0,20.93,-127.48,0.74,6,-1.1,0.59,6.02,1.02,0.79,N/A,13.27,11.1,-0.42,1.64,96.87,265.52,0,998.118,998.12,1.26,3/21/94,3/19/96,0,"325,333.00",0,0,0,0,0,0,0.62,0,0,0,0,0,0.4,0.38,0
199403,30.329,4.712,3.811,0.83,0.83,-0.235,2.451,4.147,0.2,16.598,16.598,116.967,11.88,19.71,27.38,1.82,65.37,6.56,1.43,0,20.48,12.56,2.97,8.08,6.442,0.092,0.591,12.53,0.153,0.241,0,37.57,21.73,-15.84,4.2,0.8,0.189,"30,402.00","24,176.00","6,226.00","1,503.00",0,903,"3,820.00",0,0,0,"-2,091.00",-37,"1,729.00",-825,47.72,904,0,904,72,0.83,0.83,"1,002.41",903,"4,723.00","7,263.00",0,"7,263.00",0,0,"3,425.00","3,425.00",0,0,0,0,"5,976.00","5,976.00","10,085.00","26,749.00",0,0,0,0,0,"46,430.00","46,430.00","-22,738.00","23,692.00",0,0,"147,992.00","198,433.00","9,953.00",0,0,0,"9,953.00",835,0,0,0,"13,404.00","24,192.00","116,380.00",0,"116,380.00",0,"3,573.00","36,093.00","180,238.00",0,"1,562.00","11,704.00",0,0,0,"4,929.00","18,195.00",0,"18,195.00",904,0,904,903,0,0,0,0,0,0,0,0,"2,350.00","4,157.00","-1,700.00",0,0,0,"-51,279.00","43,988.00",0,0,-294,"-9,285.00",84,0,0,"4,124.00",-272,241,"4,177.00",-951,"-1,700.00","2,457.00",6.92,0,0.72,0.72,1.94,0.9,0.11,0,1.1,9.12,21.13,4.73,0,0,6.73,"11,905.19","123,419.19",-172.61,-154.72,-171.19,4.76,36.1,0,25.32,-175.42,0.78,8,-2.68,0.644,9.01,1.11,0.86,N/A,14.06,11.78,-0.4,15.64,69.39,38.79,0,"1,002.41","1,002.12",1.24,5/13/94,5/13/94,0,0,0,0,0,0,0,0,0.47,0,0,0,2.5,0,0.31,0.33,0
199406,29.672,5.035,3.984,1.44,1.44,1.342,4.84,6.51,0.225,18.256,18.256,123.772,11.93,34.43,52.97,3.35,74.99,8.25,1.4,0,22.36,13.43,5.07,16.31,6.28,0.095,0.595,14.79,0.165,0.156,0,36.1,20.32,-15.78,4.49,0.78,0.173,"33,772.00","26,220.00","7,552.00","1,821.00",0,"1,197.00","4,534.00",0,0,0,"-1,662.00",-36,"2,872.00","-1,161.00",40.42,"1,711.00",0,"1,711.00",72,1.63,1.44,"1,138.19","1,197.00","5,731.00","10,856.00",0,"10,856.00",0,0,"2,373.00","2,373.00",0,0,0,0,"5,704.00","5,704.00","10,982.00","29,915.00",0,0,0,0,0,"47,416.00","47,416.00","-22,738.00","24,678.00",0,0,"155,486.00","210,079.00","10,373.00",0,0,0,"10,373.00",156,0,0,0,"14,952.00","25,481.00","124,745.00",0,"124,745.00",0,"3,761.00","36,204.00","190,191.00",0,"1,466.00","13,117.00",0,0,0,"5,305.00","19,888.00",0,"19,888.00","1,711.00",0,"1,711.00","1,197.00",0,0,0,0,0,0,0,0,"4,502.00","7,410.00","-1,901.00",0,0,0,"44,771.00","-37,506.00",0,0,"-15,624.00","-10,260.00",211,-145,0,"6,316.00",-297,-145,"5,940.00","3,090.00","-1,901.00","5,509.00",4.78,8.89,0.65,0.65,1.4,0.77,0.11,0,1.09,8.22,17.4,5.75,0,0,6.92,"12,038.80","127,549.80",-177.71,-160.28,-176.34,13.06,36.77,0,32.03,-183.88,0.8,7,-2.73,0.675,8.41,1.17,0.95,N/A,12.36,11,-0.7,7.43,118.18,43.08,0,"1,005.52","1,009.12",1.14,7/29/94,7/29/94,0,0,0,0,0,0,0,0,0.37,0,0,0,0.91,0,0.29,0.32,0
